sponsor,sponsor_affiliation
Hillary for America,Hillary Clinton
Gary Johnson 2016,Gary Johnson
Donald J Trump For President,Donald Trump
Correct The Record,Hillary Clinton
Great America PAC,Donald Trump
Jill Stein for President,Jill Stein
Rebuilding America Now,Donald Trump
Priorities USA Action,Hillary Clinton
Restoration PAC,Hillary Clinton
Bernie 2016,Bernie Sanders
Cruz For President,Ted Cruz
Donald J. Trump For President,Donald Trump
Kasich For America,John Kasich
America Leads,Chris Christie
Trusted leadership PAC,Ted Cruz
Our Principles PAC,Donald Trump
New Day For America,John Kasich
New Day Independent Media Cmte,John Kasich
Stand For Truth,Ted Cruz
Conservative Solutions PAC,Marco Rubio
Courageous Conservatives PAC,Ted Cruz
Keep the Promise I,Ted Cruz
Reigniting the Promise,Ted Cruz
Cruz for President,Ted Cruz
Keep the Promise III,Ted Cruz
Right To Rise USA,Jeb Bush
Cruz for president,Ted Cruz
2016 Cmte,Ben Carson
Patriot Voices PAC,Rick Santorum
America Next,Bobby Jindal
Carly for America Cmte,Carly Fiorina
Baby Got PAC,Marco Rubio
Believe Again,Bobby Jindal
Opportunity & Freedom PAC,Rick Perry
Generation Forward,Martin O'Malley
We the People, Not Washington,George Pataki
Pursuing America's Greatness,Mike Huckabee
Unintimidated PAC,Scott Walker
Stand for Principle,Ted Cruz
America's Liberty PAC,Rand Paul
New Day for America,John Kasich
Truth Squad 2016,Mike Huckabee
