sponsor,sponsor_affiliation,party
Hillary for America,Hillary Clinton,D
Gary Johnson 2016,Gary Johnson,L
Donald J Trump For President,Donald Trump,R
Correct The Record,Hillary Clinton,D
Great America PAC,Donald Trump,R
Jill Stein for President,Jill Stein,G
Rebuilding America Now,Donald Trump,R
Priorities USA Action,Hillary Clinton,D
Restoration PAC,Hillary Clinton,D
Bernie 2016,Bernie Sanders,D
Cruz For President,Ted Cruz,R
Donald J. Trump For President,Donald Trump,R
Kasich For America,John Kasich,R
America Leads,Chris Christie,R
Trusted leadership PAC,Ted Cruz,R
Our Principles PAC,Donald Trump,R
New Day For America,John Kasich,R
New Day Independent Media Cmte,John Kasich,R
Stand For Truth,Ted Cruz,R
Conservative Solutions PAC,Marco Rubio,R
Courageous Conservatives PAC,Ted Cruz,R
Keep the Promise I,Ted Cruz,R
Reigniting the Promise,Ted Cruz,R
Cruz for President,Ted Cruz,R
Keep the Promise III,Ted Cruz,R
Right To Rise USA,Jeb Bush,R
Cruz for president,Ted Cruz,R
2016 Cmte,Ben Carson,R
Patriot Voices PAC,Rick Santorum,R
America Next,Bobby Jindal,R
Carly for America Cmte,Carly Fiorina,R
Baby Got PAC,Marco Rubio,R
Believe Again,Bobby Jindal,R
Opportunity & Freedom PAC,Rick Perry,R
Generation Forward,Martin O'Malley,D
We the People, Not Washington,George Pataki,R
Pursuing America's Greatness,Mike Huckabee,R
Unintimidated PAC,Scott Walker,R
Stand for Principle,Ted Cruz,R
America's Liberty PAC,Rand Paul,R
New Day for America,John Kasich,R
Truth Squad 2016,Mike Huckabee,R
